Delivery_Distance_km,Weather_Condition,Traffic_Level,Order_Size,Delivery_Partner_Rating,Restaurant_Preparation_Time_min,Peak_Hour,Day_of_Week,Order_Value_INR,Delivery_Status
17.7,Sunny,Medium,Large,1.3,28.0,No,Monday,769.45,On Time
7.9,Sunny,High,Medium,3.3,18.2,No,Saturday,2362.19,On Time
6.4,Rainy,High,Medium,2.9,42.1,No,Sunday,816.93,Delayed
14.2,Cloudy,Medium,Medium,3.8,44.6,No,Saturday,993.68,Delayed
18.3,Sunny,Low,Small,2.8,38.5,Yes,Sunday,1664.08,Delayed
11.2,Cloudy,Low,Small,4.6,26.6,No,Friday,2151.87,On Time
24.5,Sunny,Medium,Small,1.1,35.1,No,Wednesday,287.96,Delayed
17.4,Rainy,High,Small,4.0,26.8,No,Tuesday,1525.38,Delayed
12.5,Cloudy,High,Large,3.0,29.2,Yes,Saturday,2208.44,Delayed
10.4,Rainy,Medium,Small,2.2,7.7,Yes,Saturday,124.83,On Time
9.2,Cloudy,Medium,Medium,1.4,30.9,Yes,Sunday,1347.9,On Time
18.5,Sunny,Medium,Large,2.7,19.4,No,Friday,1512.87,On Time
11.5,Cloudy,Medium,Small,2.4,21.6,No,Thursday,1111.64,Delayed
2.4,Rainy,Low,Medium,4.8,27.7,No,Tuesday,1384.24,On Time
10.6,Cloudy,High,Small,2.2,19.8,No,Saturday,1520.58,On Time
18.7,Sunny,Low,Small,4.1,7.6,Yes,Friday,1972.79,On Time
5.4,Cloudy,Low,Small,2.0,12.0,No,Friday,361.61,On Time
5.2,Cloudy,Low,Medium,2.0,21.6,No,Sunday,1608.72,On Time
13.8,Sunny,Low,Small,2.8,10.8,No,Saturday,2182.92,Delayed
13.8,Sunny,Medium,Medium,1.2,27.3,No,Thursday,132.91,On Time
16.2,Stormy,Low,Large,4.0,24.4,No,Sunday,803.92,Delayed
21.4,Rainy,Low,Small,4.1,12.5,No,Saturday,1518.79,Delayed
18.4,Cloudy,Low,Large,3.1,6.5,Yes,Saturday,2038.59,On Time
15.7,Cloudy,Medium,Medium,3.2,43.5,No,Wednesday,599.74,On Time
18.3,Stormy,Medium,Large,3.4,7.7,Yes,Sunday,1033.25,Delayed
8.8,Cloudy,Medium,Small,3.9,13.7,No,Wednesday,203.03,On Time
9.7,Sunny,Medium,Large,3.4,34.5,No,Monday,2221.66,Delayed
6.5,Rainy,Low,Small,1.3,32.9,Yes,Friday,917.09,Delayed
8.0,Rainy,Low,Small,1.4,11.8,Yes,Wednesday,285.66,Delayed
16.1,Sunny,Low,Medium,2.2,30.1,Yes,Tuesday,1604.89,Delayed
3.2,Sunny,Medium,Medium,4.5,33.3,No,Thursday,587.05,On Time
11.4,Sunny,High,Small,4.0,16.2,No,Sunday,2380.05,Delayed
11.3,Cloudy,High,Small,4.3,17.1,No,Sunday,1742.8,On Time
12.8,Rainy,High,Medium,3.9,29.9,No,Wednesday,129.08,On Time
11.2,Sunny,Low,Medium,1.5,33.3,Yes,Wednesday,218.76,On Time
8.5,Sunny,Medium,Small,4.6,37.9,No,Tuesday,1509.1,On Time
11.2,Sunny,Medium,Large,5.0,44.5,Yes,Wednesday,2151.36,On Time
22.4,Sunny,Medium,Medium,1.6,24.4,No,Saturday,1854.47,Delayed
23.7,Rainy,Medium,Small,4.7,6.7,No,Tuesday,2417.2,On Time
13.0,Sunny,Medium,Large,3.7,9.6,No,Wednesday,1963.9,On Time
16.0,Stormy,Low,Medium,2.3,36.2,Yes,Monday,1351.01,Delayed
3.8,Sunny,Low,Small,1.0,28.4,Yes,Tuesday,367.77,On Time
8.6,Sunny,Medium,Medium,3.2,16.5,No,Thursday,1901.89,On Time
11.0,Cloudy,Medium,Large,4.8,22.8,Yes,Monday,846.02,On Time
21.8,Sunny,High,Small,1.7,13.6,No,Thursday,243.04,Delayed
7.0,Sunny,Medium,Medium,4.5,14.0,Yes,Friday,1671.23,On Time
12.6,Sunny,Low,Small,1.9,10.1,Yes,Friday,391.94,On Time
24.7,Sunny,High,Small,5.0,43.6,No,Monday,1782.87,Delayed
13.5,Cloudy,Medium,Small,1.0,40.1,No,Thursday,1779.99,Delayed
15.7,Cloudy,Low,Small,4.4,44.5,Yes,Wednesday,761.19,On Time
3.9,Cloudy,High,Medium,4.1,41.0,No,Sunday,2204.99,Delayed
20.8,Sunny,Medium,Large,3.7,15.3,No,Sunday,560.19,On Time
15.5,Sunny,Medium,Medium,3.7,28.3,No,Saturday,797.52,Delayed
14.1,Sunny,Low,Large,1.6,38.9,No,Wednesday,1456.37,On Time
9.2,Cloudy,Medium,Medium,3.2,12.3,No,Thursday,1320.82,Delayed
8.3,Sunny,High,Large,2.4,8.6,No,Friday,1849.72,On Time
11.0,Cloudy,High,Small,3.3,7.2,Yes,Tuesday,317.93,On Time
17.4,Rainy,Low,Large,4.4,11.3,Yes,Sunday,1908.91,On Time
22.0,Cloudy,Medium,Small,3.2,22.0,No,Saturday,1874.5,Delayed
13.3,Sunny,Low,Small,4.2,7.8,No,Friday,253.95,On Time
17.1,Cloudy,Low,Small,4.6,26.2,No,Friday,773.65,On Time
15.1,Sunny,Low,Small,1.4,43.4,No,Friday,995.24,Delayed
16.0,Stormy,Medium,Medium,2.7,38.0,No,Saturday,1393.36,Delayed
17.2,Sunny,Medium,Medium,2.4,8.2,No,Saturday,974.6,On Time
21.2,Sunny,High,Large,3.9,13.4,Yes,Wednesday,456.95,Delayed
3.0,Cloudy,Low,Medium,2.9,37.8,No,Saturday,2233.79,Delayed
19.3,Sunny,Low,Small,1.2,14.3,Yes,Sunday,449.66,Delayed
6.8,Sunny,Medium,Small,4.8,34.9,No,Friday,449.58,On Time
5.7,Rainy,High,Medium,4.7,15.8,No,Wednesday,1909.4,Delayed
14.7,Cloudy,High,Small,4.0,20.0,Yes,Friday,1318.04,On Time
3.3,Cloudy,Medium,Large,2.1,17.3,No,Saturday,666.71,On Time
22.2,Sunny,Medium,Small,2.2,11.9,Yes,Tuesday,2280.66,Delayed
16.1,Cloudy,Medium,Small,3.0,31.0,No,Tuesday,1401.55,On Time
18.4,Cloudy,Medium,Small,3.5,12.0,No,Wednesday,1413.25,Delayed
1.4,Cloudy,High,Small,4.6,31.9,Yes,Thursday,1570.81,On Time
