Current_CGPA,Attendance_Percentage,Weekly_Self_Study_Hours,Coding_Practice_Hours_Per_Week,Previous_Semester_SPI,Internal_Assessment_Marks,Practical_Assignment_Submission,Target_Grade,Additional_Study_Hours_Required
6.87,69.7,20.6,17.5,8.65,2.8,63.8,B+,12.8
9.75,73.7,18.3,26.1,5.92,1.8,45.9,O,53.0
8.66,92.7,9.7,19.7,6.73,18.1,96.4,B+,5.0
7.99,67.0,33.4,2.9,8.32,29.0,21.9,O,50.4
5.78,93.5,26.2,6.5,7.41,15.1,58.8,B+,14.4
5.78,54.4,47.6,7.7,8.69,1.5,70.0,A,27.4
5.29,88.8,1.8,9.0,9.81,6.6,82.6,B,7.9
9.33,92.4,35.4,19.8,5.58,7.3,40.7,B,0.0
8.01,59.1,42.0,17.6,8.55,10.1,68.7,A,8.3
8.54,71.5,41.8,7.1,6.15,1.3,30.3,A,29.6
5.1,58.3,48.7,2.4,7.07,27.1,43.5,B+,15.0
9.85,85.3,40.1,6.0,5.16,15.5,89.6,A+,36.1
9.16,76.8,51.0,34.5,5.68,20.1,95.0,B,0.0
6.06,81.8,18.3,16.4,6.6,2.0,71.9,A,32.8
5.91,59.8,27.7,30.4,6.71,1.6,37.4,A+,39.5
5.92,60.6,0.8,29.7,9.5,17.6,82.0,B+,9.1
6.52,52.1,0.4,17.9,8.71,26.6,2.6,A+,51.9
7.62,66.1,13.2,24.7,9.86,15.9,10.3,A+,42.5
7.16,78.0,5.5,6.7,8.0,26.3,66.1,B+,16.5
6.46,92.9,14.3,24.1,6.21,24.3,29.1,B+,6.6
8.06,83.3,9.7,9.5,6.64,2.3,95.1,B+,17.3
5.7,71.8,1.6,29.1,6.6,6.1,43.6,B+,22.1
6.46,97.7,50.0,2.9,6.63,19.7,42.9,A+,35.5
6.83,86.0,0.5,27.1,8.36,13.3,67.8,A,31.8
7.28,96.5,40.5,3.5,7.65,8.7,76.8,A,27.9
8.93,76.4,8.4,30.8,6.93,12.6,47.6,C,0.0
6.0,62.9,50.2,10.6,5.75,13.4,21.4,O,61.6
7.57,52.6,49.1,22.9,5.11,27.3,77.3,A+,26.3
7.96,86.3,36.0,17.1,6.09,3.1,32.0,B,0.0
5.23,56.1,37.0,12.8,5.54,8.4,17.5,C,3.7
8.04,65.1,0.3,22.6,8.93,16.1,63.2,B,0.0
5.85,76.6,54.2,33.2,5.56,20.9,9.0,O,37.2
5.33,78.2,48.3,1.4,8.62,18.9,97.1,B+,15.3
9.74,80.0,49.2,32.2,6.93,28.2,63.2,A,0.0
9.83,58.3,36.3,21.3,5.37,23.9,98.6,B,0.0
9.04,69.0,19.0,28.3,9.06,16.7,33.9,O,45.5
6.52,80.9,49.2,13.4,7.9,6.4,97.1,A+,37.1
5.49,98.5,16.0,16.5,6.18,13.5,14.6,A,31.9
8.42,86.4,30.9,30.4,9.47,20.8,4.1,A+,18.1
7.2,96.1,5.5,14.5,5.23,25.1,3.3,B+,23.6
5.61,88.1,50.7,18.7,6.01,28.8,46.5,B,0.0
7.48,79.6,7.7,0.7,8.76,18.2,8.3,B+,22.5
5.17,59.6,12.4,5.6,8.55,15.8,51.2,A,48.2
9.55,83.3,30.7,22.5,6.45,0.5,32.8,B,0.0
6.29,81.2,42.0,25.1,5.31,2.2,33.6,A+,41.8
8.31,80.1,34.1,20.4,9.29,4.7,63.6,A+,30.3
6.56,74.5,12.8,5.0,6.57,1.6,16.3,A,40.7
7.6,76.4,0.1,15.6,5.98,12.0,76.7,O,65.9
7.73,66.7,41.6,12.4,7.58,10.1,58.2,O,55.8
5.92,76.0,54.2,17.3,9.55,19.1,91.5,A,6.1
9.85,59.9,44.5,30.5,5.22,16.1,36.5,B,0.0
8.88,90.3,25.3,27.2,8.83,17.9,98.3,B,0.0
9.7,59.3,49.7,2.9,7.86,14.2,57.6,A,16.9
9.47,54.2,22.5,31.2,7.13,8.3,97.3,A+,30.3
7.99,71.8,28.9,16.5,8.72,28.6,2.7,A+,30.2
9.61,82.9,26.2,26.0,9.83,2.6,72.8,A,12.8
5.44,71.9,24.6,4.9,6.15,28.2,81.7,A+,50.8
5.98,63.8,42.6,23.5,5.72,9.3,5.3,O,62.5
5.23,77.9,29.0,8.3,9.56,15.4,57.9,B+,11.1
6.63,67.4,17.4,15.3,8.34,3.3,80.2,B+,10.7
6.94,96.6,14.2,0.6,7.19,2.1,56.1,A+,58.6
6.36,96.1,2.1,5.3,7.87,12.9,6.4,B+,31.6
9.14,75.1,32.1,3.2,8.73,22.3,69.3,B+,0.0
6.78,66.4,12.6,8.4,8.87,8.1,6.1,A,42.4
6.4,86.9,8.1,3.5,9.6,16.9,81.7,O,60.9
7.71,51.8,36.0,24.2,7.13,8.4,4.3,B,0.0
5.7,73.7,37.5,1.0,6.47,11.7,13.7,B+,31.5
9.01,66.8,41.4,21.6,8.2,27.2,27.5,A+,19.7
5.37,96.0,27.7,4.9,7.08,25.7,63.3,B+,13.2
9.93,50.6,49.2,33.1,7.97,15.5,97.6,A,0.0
8.86,77.6,51.5,32.7,7.1,7.1,11.8,B+,0.0
5.99,87.0,44.4,7.9,5.76,5.8,14.3,A,31.5
5.03,74.3,35.0,21.5,7.35,28.6,36.9,A,23.0
9.08,54.3,16.7,1.0,8.45,6.1,83.6,B+,16.4
8.53,98.6,54.1,32.6,9.0,24.2,46.7,B+,0.0
8.65,75.9,15.1,18.3,7.47,11.1,32.2,O,55.5
8.86,80.7,11.1,1.5,5.83,29.6,56.1,O,59.8
5.37,61.8,24.3,12.0,7.07,11.0,26.1,A,45.0
6.79,74.2,3.1,2.7,8.93,10.5,40.1,A,47.5
5.58,71.5,53.8,13.8,7.06,19.1,33.3,A+,39.5
9.32,53.7,32.4,23.4,8.48,28.8,80.4,B+,0.0
8.12,55.3,30.6,16.4,7.54,29.3,92.4,A+,33.6
6.65,91.9,36.1,13.4,6.21,21.2,76.0,B+,8.5
5.32,62.0,27.3,4.2,8.98,22.6,43.9,B+,23.7
6.55,59.7,1.8,8.6,5.42,16.9,50.4,A+,57.5
6.63,75.2,33.7,3.5,7.62,22.7,12.5,B+,11.3
8.65,88.4,39.4,28.3,6.04,25.8,74.7,C,0.0
8.19,53.1,22.9,4.7,5.34,14.6,59.6,A+,51.0
9.44,78.8,41.7,20.8,7.51,18.6,90.2,B,0.0
7.36,56.0,12.5,12.0,7.5,16.1,20.1,B+,16.7
5.6,51.8,12.2,7.9,8.53,16.9,76.0,B+,26.4
